ID	LENGTH	GC	COVERAGE	ORF_COUNT	ORF_PER_KB	ORF_MEAN	ORF_MEDIAN	ORF_PLUS_STRAND_RATIO	INTERGENIC_MEAN	INTERGENIC_MEDIAN	FRACTION_OVERLAPPING_ORFS
scaffold_1210	1851	73.20	1	2	1.08	0.906	0.906	NA	20.00	20.00	0.00
scaffold_1211	1850	68.32	1	3	1.62	0.534	0.330	NA	70.00	70.00	0.00
scaffold_1212	1850	65.62	1	1	0.54	1.206	1.206	NA	645.00	645.00	0.00
scaffold_1213	1849	59.28	1	3	1.62	0.473	0.222	0.500	157.00	157.00	0.00
scaffold_1214	1849	57.17	1	2	1.08	0.872	0.872	NA	53.50	53.50	0.00
scaffold_1215	1848	68.56	1	3	1.62	0.311	0.270	2.000	461.00	461.00	0.33
scaffold_1216	1848	59.58	1	1	0.54	0.171	0.171	NA	2.00	2.00	0.00
scaffold_1217	1846	60.62	1	2	1.08	0.234	0.234	NA	690.00	690.00	0.00
scaffold_1218	1845	65.69	1	1	0.54	1.842	1.842	NA	2.00	2.00	0.00
scaffold_1219	1844	63.12	1	2	1.08	0.541	0.541	1.000	276.00	276.00	0.00
scaffold_1220	1843	67.01	1	1	0.54	1.842	1.842	NA	1.00	1.00	0.00
scaffold_1221	1842	62.27	1	2	1.09	0.576	0.576	1.000	346.50	346.50	0.00
scaffold_1222	1842	64.66	1	2	1.09	0.831	0.831	NA	90.50	90.50	0.00
scaffold_1223	1841	63.77	1	1	0.54	1.758	1.758	NA	3.00	3.00	0.00
scaffold_1224	1841	59.53	1	1	0.54	1.839	1.839	NA	3.00	3.00	0.00
scaffold_1225	1841	61.05	1	3	1.63	0.588	0.192	2.000	34.00	34.00	0.00
scaffold_1226	1836	63.51	1	2	1.09	0.882	0.882	NA	37.50	37.50	0.00
scaffold_1227	1835	70.14	1	1	0.54	1.833	1.833	NA	3.00	3.00	0.00
scaffold_1228	1835	60.44	1	2	1.09	0.493	0.493	1.000	425.50	425.50	0.00
scaffold_1229	1834	61.94	1	1	0.55	0.294	0.294	NA	829.00	829.00	0.00
scaffold_1230	1834	57.42	1	2	1.09	0.162	0.162	1.000	94.50	94.50	0.00
scaffold_1231	1831	50.68	1	2	1.09	0.612	0.612	NA	304.50	304.50	0.00
scaffold_1232	1831	57.78	1	1	0.55	1.830	1.830	NA	2.00	2.00	0.00
scaffold_1233	1831	63.84	1	2	1.09	0.813	0.813	1.000	103.50	103.50	0.00
scaffold_1234	1831	52.38	1	2	1.09	0.684	0.684	1.000	232.50	232.50	0.00
scaffold_1235	1830	56.78	1	2	1.09	0.688	0.688	1.000	227.50	227.50	0.00
scaffold_1236	1827	62.01	1	2	1.09	0.690	0.690	1.000	161.50	161.50	0.00
scaffold_1237	1824	74.23	1	1	0.55	0.702	0.702	NA	531.00	531.00	0.00
scaffold_1238	1824	68.37	1	2	1.10	0.645	0.645	NA	268.00	268.00	0.00
scaffold_1239	1823	62.37	1	1	0.55	1.821	1.821	NA	1.00	1.00	0.00
scaffold_1240	1823	63.58	1	2	1.10	0.141	0.141	NA	771.00	771.00	0.00
scaffold_1241	1821	66.56	1	2	1.10	0.486	0.486	NA	426.00	426.00	0.00
scaffold_1242	1820	61.48	1	3	1.65	0.442	0.447	0.500	250.00	250.00	0.33
scaffold_1243	1820	64.18	1	1	0.55	1.596	1.596	NA	224.00	224.00	0.00
scaffold_1244	1816	61.78	1	3	1.65	0.343	0.318	0.500	442.50	442.50	0.33
scaffold_1245	1816	60.90	1	2	1.10	0.714	0.714	1.000	178.00	178.00	0.00
scaffold_1246	1815	60.99	1	3	1.65	0.266	0.297	NA	134.00	134.00	0.00
scaffold_1247	1814	57.83	1	2	1.10	0.332	0.332	NA	410.00	410.00	0.00
scaffold_1248	1805	57.34	1	2	1.11	0.909	0.909	NA	2.00	2.00	0.50
scaffold_1249	1805	66.26	1	1	0.55	0.975	0.975	NA	3.00	3.00	0.00
scaffold_1250	1804	64.86	1	1	0.55	1.800	1.800	NA	3.00	3.00	0.00
scaffold_1251	1804	71.95	1	2	1.11	0.805	0.805	1.000	98.00	98.00	0.00
scaffold_1252	1803	65.89	1	2	1.11	0.808	0.808	1.000	94.00	94.00	0.00
scaffold_1253	1803	63.12	1	3	1.66	0.486	0.216	2.000	175.50	175.50	0.33
scaffold_1254	1803	60.01	1	3	1.66	0.197	0.153	2.000	433.00	433.00	0.00
scaffold_1255	1801	71.35	1	2	1.11	0.795	0.795	1.000	46.50	46.50	0.00
scaffold_1256	1801	50.58	1	1	0.56	0.399	0.399	NA	3.00	3.00	0.00
scaffold_1257	1800	61.50	1	2	1.11	0.675	0.675	1.000	620.00	620.00	0.50
scaffold_1258	1798	61.96	1	1	0.56	0.372	0.372	NA	1.00	1.00	0.00
scaffold_1259	1795	58.33	1	4	2.23	0.205	0.188	0.333	150.00	150.00	0.00
scaffold_1260	1793	60.01	1	1	0.56	0.321	0.321	NA	1473.00	1473.00	0.00
scaffold_1261	1791	71.75	1	1	0.56	1.302	1.302	NA	400.00	400.00	0.00
scaffold_1262	1790	61.62	1	4	2.23	0.326	0.282	NA	48.50	48.50	0.00
scaffold_1263	1787	63.35	1	3	1.68	0.301	0.309	NA	302.00	302.00	0.00
scaffold_1264	1781	63.90	1	4	2.25	0.298	0.306	1.000	178.00	178.00	0.00
scaffold_1265	1781	57.72	1	3	1.68	0.207	0.135	NA	121.00	121.00	0.00
scaffold_1266	1780	60.17	1	1	0.56	1.776	1.776	NA	3.00	3.00	0.00
scaffold_1267	1779	70.21	1	3	1.69	0.559	0.681	2.000	31.00	31.00	0.00
scaffold_1268	1779	61.66	1	1	0.56	0.753	0.753	NA	2.00	2.00	0.00
scaffold_1269	1778	67.21	1	2	1.12	0.647	0.647	NA	243.50	243.50	0.00
scaffold_1270	1775	52.62	1	1	0.56	1.734	1.734	NA	2.00	2.00	0.00
scaffold_1271	1775	51.32	1	4	2.25	0.174	0.183	3.000	48.00	48.00	0.00
scaffold_1272	1773	53.58	1	1	0.56	1.764	1.764	NA	8.00	8.00	0.00
scaffold_1273	1772	60.16	1	2	1.13	0.711	0.711	1.000	60.50	60.50	0.00
scaffold_1274	1772	68.68	1	1	0.56	1.137	1.137	NA	384.00	384.00	0.00
scaffold_1275	1772	52.14	1	2	1.13	0.338	0.338	NA	549.00	549.00	0.00
scaffold_1276	1772	67.55	1	1	0.56	1.548	1.548	NA	3.00	3.00	0.00
scaffold_1277	1771	63.64	1	1	0.56	1.308	1.308	NA	464.00	464.00	0.00
scaffold_1278	1767	47.20	1	1	0.57	0.279	0.279	NA	66.00	66.00	0.00
scaffold_1279	1763	49.63	1	1	0.57	1.761	1.761	NA	1.00	1.00	0.00
scaffold_1280	1762	66.80	1	2	1.14	0.605	0.605	1.000	238.00	238.00	0.00
scaffold_1281	1762	55.90	1	3	1.70	0.335	0.342	0.500	293.00	293.00	0.00
scaffold_1282	1760	67.16	1	2	1.14	0.807	0.807	1.000	73.50	73.50	0.00
scaffold_1283	1760	65.17	1	1	0.57	1.242	1.242	NA	1.00	1.00	0.00
scaffold_1284	1759	65.09	1	2	1.14	0.282	0.282	NA	598.00	598.00	0.00
scaffold_1285	1758	70.02	1	2	1.14	0.740	0.740	NA	141.00	141.00	0.00
scaffold_1286	1757	58.22	1	1	0.57	0.246	0.246	NA	661.00	661.00	0.00
scaffold_1287	1756	56.15	1	2	1.14	0.436	0.436	1.000	443.00	443.00	0.00
scaffold_1288	1755	51.05	1	4	2.28	0.135	0.107	NA	273.50	273.50	0.00
scaffold_1289	1754	62.14	1	1	0.57	0.981	0.981	NA	774.00	774.00	0.00
scaffold_1290	1753	60.81	1	2	1.14	0.443	0.443	NA	434.50	434.50	0.00
scaffold_1291	1746	60.77	1	3	1.72	0.389	0.465	2.000	42.00	42.00	0.00
scaffold_1292	1745	69.34	1	1	0.57	0.456	0.456	NA	816.00	816.00	0.00
scaffold_1293	1737	69.43	1	2	1.15	0.735	0.735	1.000	134.50	134.50	0.00
scaffold_1294	1737	66.95	1	1	0.58	1.737	1.737	NA	1.00	1.00	0.00
scaffold_1295	1735	65.94	1	1	0.58	1.734	1.734	NA	1.00	1.00	0.00
scaffold_1296	1735	67.15	1	1	0.58	1.734	1.734	NA	1.00	1.00	0.00
scaffold_1297	1734	59.57	1	2	1.15	0.412	0.412	1.000	455.00	455.00	0.00
scaffold_1298	1734	67.82	1	1	0.58	0.888	0.888	NA	743.00	743.00	0.00
scaffold_1299	1732	57.91	1	2	1.15	0.754	0.754	1.000	22.50	22.50	0.00
scaffold_1300	1728	53.01	1	2	1.16	0.333	0.333	1.000	150.50	150.50	0.00
scaffold_1301	1727	68.04	1	3	1.74	0.308	0.204	NA	97.00	97.00	0.00
scaffold_1302	1722	61.79	1	1	0.58	1.719	1.719	NA	2.00	2.00	0.00
scaffold_1303	1722	68.99	1	2	1.16	0.556	0.556	NA	305.50	305.50	0.00
scaffold_1304	1720	61.28	1	2	1.16	0.655	0.655	NA	206.00	206.00	0.00
scaffold_1305	1720	62.62	1	2	1.16	0.734	0.734	NA	128.00	128.00	0.00
scaffold_1306	1718	62.98	1	3	1.75	0.308	0.132	2.000	177.00	177.00	0.00
scaffold_1307	1714	67.04	1	2	1.17	0.405	0.405	1.000	452.50	452.50	0.00
scaffold_1308	1713	73.20	1	1	0.58	1.074	1.074	NA	3.00	3.00	0.00
scaffold_1309	1713	61.70	1	2	1.17	0.684	0.684	1.000	3.00	3.00	0.50
scaffold_1310	1712	65.89	1	1	0.58	0.513	0.513	NA	2.00	2.00	0.00
scaffold_1311	1711	63.94	1	1	0.58	0.696	0.696	NA	2.00	2.00	0.00
scaffold_1312	1711	58.21	1	4	2.34	0.218	0.235	3.000	209.50	209.50	0.00
scaffold_1313	1707	53.31	1	2	1.17	0.197	0.197	1.000	492.00	492.00	0.00
scaffold_1314	1704	48.06	1	1	0.59	0.543	0.543	NA	1.00	1.00	0.00
scaffold_1315	1701	69.90	1	1	0.59	0.255	0.255	NA	1445.00	1445.00	0.00
scaffold_1316	1697	67.53	1	1	0.59	1.695	1.695	NA	3.00	3.00	0.00
scaffold_1317	1697	64.05	1	2	1.18	0.591	0.591	1.000	259.00	259.00	0.00
scaffold_1318	1696	66.86	1	1	0.59	1.695	1.695	NA	1.00	1.00	0.00
scaffold_1319	1695	63.13	1	2	1.18	0.417	0.417	NA	431.00	431.00	0.00
scaffold_1320	1694	59.09	1	2	1.18	0.501	0.501	NA	346.50	346.50	0.00
scaffold_1321	1693	64.03	1	3	1.77	0.440	0.537	0.500	67.00	67.00	0.00
scaffold_1322	1693	76.14	1	2	1.18	0.724	0.724	NA	123.50	123.50	0.00
scaffold_1323	1692	70.33	1	1	0.59	1.302	1.302	NA	2.00	2.00	0.00
scaffold_1324	1692	65.60	1	2	1.18	0.811	0.811	1.000	35.50	35.50	0.00
scaffold_1325	1692	60.64	1	1	0.59	1.689	1.689	NA	3.00	3.00	0.00
scaffold_1326	1686	60.20	1	1	0.59	0.846	0.846	NA	840.00	840.00	0.00
scaffold_1327	1686	58.90	1	2	1.19	0.649	0.649	NA	194.50	194.50	0.00
scaffold_1328	1682	68.61	1	2	1.19	0.415	0.415	NA	24.50	24.50	0.00
scaffold_1329	1682	65.70	1	3	1.78	0.213	0.225	2.000	448.00	448.00	0.00
scaffold_1330	1681	65.08	1	1	0.59	1.680	1.680	NA	1.00	1.00	0.00
scaffold_1331	1680	70.89	1	2	1.19	0.569	0.569	NA	272.50	272.50	0.00
scaffold_1332	1680	58.33	1	1	0.60	1.242	1.242	NA	438.00	438.00	0.00
scaffold_1333	1679	62.12	1	2	1.19	0.449	0.449	1.000	392.50	392.50	0.00
scaffold_1334	1678	61.56	1	1	0.60	0.060	0.060	NA	1.00	1.00	0.00
scaffold_1335	1678	49.70	1	1	0.60	0.126	0.126	NA	2.00	2.00	0.00
scaffold_1336	1677	58.62	1	1	0.60	1.677	1.677	NA	1.00	1.00	0.00
scaffold_1337	1676	66.23	1	2	1.19	0.578	0.578	1.000	261.00	261.00	0.00
scaffold_1338	1674	59.50	1	1	0.60	0.159	0.159	NA	470.00	470.00	0.00
scaffold_1339	1671	66.25	1	1	0.60	1.275	1.275	NA	3.00	3.00	0.00
scaffold_1340	1670	49.70	1	1	0.60	1.485	1.485	NA	2.00	2.00	0.00
scaffold_1341	1669	59.32	1	2	1.20	0.366	0.366	NA	300.50	300.50	0.00
scaffold_1342	1669	56.62	1	1	0.60	0.612	0.612	NA	1056.00	1056.00	0.00
scaffold_1343	1668	62.35	1	1	0.60	1.407	1.407	NA	2.00	2.00	0.00
scaffold_1344	1665	65.17	1	1	0.60	0.357	0.357	NA	2.00	2.00	0.00
scaffold_1345	1664	64.72	1	1	0.60	1.662	1.662	NA	1.00	1.00	0.00
scaffold_1346	1658	48.67	1	1	0.60	0.285	0.285	NA	3.00	3.00	0.00
scaffold_1347	1657	62.28	1	3	1.81	0.371	0.258	2.000	207.00	207.00	0.00
scaffold_1348	1656	64.37	1	1	0.60	1.656	1.656	NA	1.00	1.00	0.00
scaffold_1349	1656	67.27	1	1	0.60	1.653	1.653	NA	2.00	2.00	0.00
scaffold_1350	1651	57.54	1	1	0.61	1.650	1.650	NA	1.00	1.00	0.00
scaffold_1351	1650	71.58	1	2	1.21	0.450	0.450	NA	14.50	14.50	0.00
scaffold_1352	1648	64.14	1	2	1.21	0.520	0.520	NA	305.00	305.00	0.00
scaffold_1353	1646	50.79	1	1	0.61	0.468	0.468	NA	1042.00	1042.00	0.00
scaffold_1354	1645	61.34	1	1	0.61	0.384	0.384	NA	425.00	425.00	0.00
scaffold_1355	1642	64.98	1	3	1.83	0.221	0.201	NA	223.00	223.00	0.00
scaffold_1356	1639	68.27	1	2	1.22	0.651	0.651	NA	24.50	24.50	0.00
scaffold_1357	1638	66.48	1	1	0.61	0.456	0.456	NA	1.00	1.00	0.00
scaffold_1358	1634	60.53	1	2	1.22	0.449	0.449	1.000	129.00	129.00	0.00
scaffold_1359	1633	58.05	1	1	0.61	1.632	1.632	NA	1.00	1.00	0.00
scaffold_1360	1633	69.87	1	2	1.22	0.459	0.459	NA	358.00	358.00	0.00
scaffold_1361	1630	60.49	1	1	0.61	1.098	1.098	NA	1.00	1.00	0.00
scaffold_1362	1630	63.19	1	3	1.84	0.439	0.309	0.500	124.00	124.00	0.00
scaffold_1363	1629	48.86	1	1	0.61	1.428	1.428	NA	201.00	201.00	0.00
scaffold_1364	1629	62.74	1	1	0.61	1.200	1.200	NA	3.00	3.00	0.00
scaffold_1365	1627	68.96	1	2	1.23	0.263	0.263	1.000	552.50	552.50	0.00
scaffold_1366	1627	65.09	1	3	1.84	0.415	0.186	NA	157.00	157.00	0.00
scaffold_1367	1626	58.55	1	1	0.62	0.306	0.306	NA	3.00	3.00	0.00
scaffold_1368	1626	57.26	1	3	1.85	0.383	0.363	NA	371.00	371.00	0.67
scaffold_1369	1624	70.07	1	1	0.62	1.620	1.620	NA	3.00	3.00	0.00
scaffold_1370	1622	63.26	1	1	0.62	0.417	0.417	NA	1.00	1.00	0.00
scaffold_1371	1622	64.43	1	2	1.23	0.575	0.575	1.000	237.50	237.50	0.00
scaffold_1372	1622	70.96	1	1	0.62	0.909	0.909	NA	3.00	3.00	0.00
scaffold_1373	1619	68.56	1	1	0.62	1.617	1.617	NA	2.00	2.00	0.00
scaffold_1374	1617	53.12	1	2	1.24	0.107	0.107	NA	702.50	702.50	0.00
scaffold_1375	1617	64.63	1	2	1.24	0.382	0.382	1.000	427.00	427.00	0.00
scaffold_1376	1616	66.96	1	1	0.62	0.621	0.621	NA	370.00	370.00	0.00
scaffold_1377	1612	74.01	1	1	0.62	0.759	0.759	NA	854.00	854.00	0.00
scaffold_1378	1611	69.65	1	1	0.62	0.912	0.912	NA	699.00	699.00	0.00
scaffold_1379	1610	63.60	1	2	1.24	0.458	0.458	NA	349.00	349.00	0.00
scaffold_1380	1609	71.04	1	1	0.62	1.608	1.608	NA	2.00	2.00	0.00
scaffold_1381	1609	66.13	1	1	0.62	1.608	1.608	NA	1.00	1.00	0.00
scaffold_1382	1607	67.14	1	1	0.62	1.605	1.605	NA	2.00	2.00	0.00
scaffold_1383	1606	68.24	1	2	1.25	0.813	0.813	NA	3.00	3.00	0.50
scaffold_1384	1606	57.10	1	2	1.25	0.450	0.450	NA	354.50	354.50	0.00
scaffold_1385	1605	73.58	1	1	0.62	1.605	1.605	NA	1.00	1.00	0.00
scaffold_1386	1602	59.49	1	2	1.25	0.264	0.264	NA	422.50	422.50	0.00
scaffold_1387	1602	58.93	1	1	0.62	0.126	0.126	NA	1476.00	1476.00	0.00
scaffold_1388	1596	66.60	1	2	1.25	0.569	0.569	NA	181.50	181.50	0.00
scaffold_1389	1596	58.71	1	2	1.25	0.120	0.120	1.000	678.50	678.50	0.00
scaffold_1390	1594	58.85	1	2	1.25	0.466	0.466	NA	103.00	103.00	0.00
scaffold_1391	1593	70.68	1	2	1.26	0.246	0.246	NA	551.00	551.00	0.00
scaffold_1392	1592	60.11	1	1	0.63	0.447	0.447	NA	3.00	3.00	0.00
scaffold_1393	1591	59.33	1	2	1.26	0.529	0.529	1.000	220.00	220.00	0.00
scaffold_1394	1590	51.64	1	2	1.26	0.745	0.745	NA	1.00	1.00	0.50
scaffold_1395	1587	56.52	1	4	2.52	0.184	0.183	1.000	184.00	184.00	0.00
scaffold_1396	1587	69.75	1	2	1.26	0.795	0.795	NA	2.00	2.00	0.50
scaffold_1397	1587	62.95	1	2	1.26	0.446	0.446	NA	349.00	349.00	0.00
scaffold_1398	1586	65.38	1	2	1.26	0.351	0.351	1.000	443.50	443.50	0.00
scaffold_1399	1584	62.75	1	2	1.26	0.544	0.544	NA	248.50	248.50	0.00
scaffold_1400	1584	61.93	1	1	0.63	1.002	1.002	NA	583.00	583.00	0.00
scaffold_1401	1583	59.07	1	2	1.26	0.519	0.519	NA	273.50	273.50	0.00
scaffold_1402	1583	58.75	1	3	1.90	0.328	0.210	0.500	147.00	147.00	0.00
scaffold_1403	1581	64.58	1	3	1.90	0.310	0.327	NA	133.00	133.00	0.00
scaffold_1404	1580	67.15	1	1	0.63	0.873	0.873	NA	708.00	708.00	0.00
scaffold_1405	1576	66.75	1	3	1.90	0.226	0.240	0.500	107.00	107.00	0.00
scaffold_1406	1575	69.84	1	2	1.27	0.572	0.572	1.000	84.50	84.50	0.00
scaffold_1407	1569	64.44	1	3	1.91	0.265	0.246	NA	86.00	86.00	0.00
scaffold_1408	1568	62.12	1	1	0.64	0.936	0.936	NA	1.00	1.00	0.00
scaffold_1409	1568	63.39	1	4	2.55	0.286	0.240	NA	128.00	128.00	0.25
scaffold_1410	1565	58.34	1	2	1.28	0.727	0.727	1.000	56.00	56.00	0.00
scaffold_1411	1564	64.71	1	2	1.28	0.400	0.400	1.000	383.00	383.00	0.00
scaffold_1412	1564	54.80	1	1	0.64	1.563	1.563	NA	1.00	1.00	0.00
scaffold_1413	1563	63.53	1	1	0.64	0.693	0.693	NA	1.00	1.00	0.00
scaffold_1414	1563	64.56	1	2	1.28	0.561	0.561	1.000	222.00	222.00	0.00
scaffold_1415	1562	61.97	1	1	0.64	1.560	1.560	NA	3.00	3.00	0.00
scaffold_1416	1560	64.04	1	2	1.28	0.785	0.785	1.000	1.00	1.00	0.50
scaffold_1417	1558	65.79	1	1	0.64	1.557	1.557	NA	1.00	1.00	0.00
scaffold_1418	1558	65.92	1	1	0.64	1.554	1.554	NA	3.00	3.00	0.00
scaffold_1419	1557	59.41	1	3	1.93	0.296	0.285	NA	79.00	79.00	0.00
scaffold_1420	1556	56.49	1	3	1.93	0.344	0.294	2.000	281.50	281.50	0.33
scaffold_1421	1556	62.92	1	1	0.64	1.554	1.554	NA	3.00	3.00	0.00
scaffold_1422	1555	71.64	1	2	1.29	0.547	0.547	1.000	231.50	231.50	0.00
scaffold_1423	1552	52.84	1	1	0.64	0.252	0.252	NA	1112.00	1112.00	0.00
scaffold_1424	1552	57.80	1	2	1.29	0.249	0.249	1.000	528.50	528.50	0.00
scaffold_1425	1551	66.92	1	2	1.29	0.450	0.450	NA	326.50	326.50	0.00
scaffold_1426	1550	64.65	1	2	1.29	0.589	0.589	1.000	186.50	186.50	0.00
scaffold_1427	1549	62.36	1	3	1.94	0.525	0.633	2.000	23.50	23.50	0.33
scaffold_1428	1549	60.10	1	1	0.65	0.186	0.186	NA	1.00	1.00	0.00
scaffold_1429	1546	58.47	1	2	1.29	0.288	0.288	NA	486.50	486.50	0.00
scaffold_1430	1543	62.28	1	3	1.94	0.277	0.228	0.500	201.00	201.00	0.00
scaffold_1431	1542	61.80	1	1	0.65	1.539	1.539	NA	2.00	2.00	0.00
scaffold_1432	1542	68.81	1	3	1.95	0.419	0.294	NA	160.50	160.50	0.33
scaffold_1433	1541	63.66	1	2	1.30	0.303	0.303	NA	468.50	468.50	0.00
scaffold_1434	1541	56.91	1	2	1.30	0.393	0.393	NA	378.00	378.00	0.00
scaffold_1435	1537	69.16	1	2	1.30	0.681	0.681	1.000	88.50	88.50	0.00
scaffold_1436	1536	65.95	1	2	1.30	0.550	0.550	1.000	575.00	575.00	0.50
scaffold_1437	1536	66.02	1	3	1.95	0.388	0.405	0.500	132.00	132.00	0.00
scaffold_1438	1533	66.86	1	1	0.65	0.120	0.120	NA	1.00	1.00	0.00
scaffold_1439	1533	70.32	1	2	1.30	0.734	0.734	1.000	34.00	34.00	0.00
scaffold_1440	1530	65.16	1	2	1.31	0.710	0.710	NA	46.00	46.00	0.00
scaffold_1441	1530	55.16	1	1	0.65	0.384	0.384	NA	1.00	1.00	0.00
scaffold_1442	1529	57.29	1	1	0.65	1.527	1.527	NA	3.00	3.00	0.00
scaffold_1443	1528	67.87	1	2	1.31	0.734	0.734	NA	32.00	32.00	0.00
scaffold_1444	1524	60.37	1	2	1.31	0.465	0.465	NA	298.50	298.50	0.00
scaffold_1445	1524	63.98	1	2	1.31	0.420	0.420	1.000	343.50	343.50	0.00
scaffold_1446	1523	56.66	1	1	0.66	1.017	1.017	NA	2.00	2.00	0.00
scaffold_1447	1523	71.50	1	1	0.66	0.927	0.927	NA	60.00	60.00	0.00
scaffold_1448	1522	56.44	1	3	1.97	0.202	0.237	0.500	149.00	149.00	0.00
scaffold_1449	1522	52.76	1	2	1.31	0.749	0.749	NA	13.00	13.00	0.00
scaffold_1450	1521	57.00	1	1	0.66	0.339	0.339	NA	1183.00	1183.00	0.00
scaffold_1451	1520	68.09	1	1	0.66	1.014	1.014	NA	507.00	507.00	0.00
scaffold_1452	1518	65.15	1	1	0.66	1.518	1.518	NA	1.00	1.00	0.00
scaffold_1453	1518	67.85	1	2	1.32	0.342	0.342	1.000	418.00	418.00	0.00
scaffold_1454	1518	54.28	1	1	0.66	1.515	1.515	NA	2.00	2.00	0.00
scaffold_1455	1517	69.48	1	2	1.32	0.679	0.679	1.000	80.00	80.00	0.00
scaffold_1456	1515	62.31	1	2	1.32	0.344	0.344	NA	415.50	415.50	0.00
scaffold_1457	1514	65.19	1	2	1.32	0.344	0.344	NA	414.00	414.00	0.00
scaffold_1458	1513	58.36	1	1	0.66	1.041	1.041	NA	95.00	95.00	0.00
scaffold_1459	1512	70.24	1	2	1.32	0.352	0.352	1.000	404.50	404.50	0.00
scaffold_1460	1512	61.38	1	1	0.66	0.663	0.663	NA	2.00	2.00	0.00
scaffold_1461	1511	64.86	1	2	1.32	0.382	0.382	NA	374.50	374.50	0.00
scaffold_1462	1510	70.66	1	3	1.99	0.425	0.552	NA	110.00	110.00	0.00
scaffold_1463	1506	53.98	1	2	1.33	0.528	0.528	NA	255.00	255.00	0.50
scaffold_1464	1506	64.08	1	2	1.33	0.660	0.660	NA	93.50	93.50	0.00
scaffold_1465	1505	68.50	1	2	1.33	0.760	0.760	NA	2.00	2.00	0.50
scaffold_1466	1504	68.28	1	1	0.66	1.503	1.503	NA	2.00	2.00	0.00
scaffold_1467	1504	51.46	1	1	0.66	1.500	1.500	NA	3.00	3.00	0.00
scaffold_1468	1503	63.81	1	2	1.33	0.636	0.636	1.000	117.00	117.00	0.00
scaffold_1469	1503	56.82	1	2	1.33	0.360	0.360	NA	392.50	392.50	0.00
scaffold_1470	1503	70.13	1	2	1.33	0.532	0.532	1.000	219.50	219.50	0.00
scaffold_1471	1502	55.26	1	2	1.33	0.312	0.312	1.000	440.00	440.00	0.00
scaffold_1472	1502	66.91	1	1	0.67	0.903	0.903	NA	600.00	600.00	0.00
scaffold_1473	1498	61.01	1	2	1.34	0.522	0.522	1.000	228.50	228.50	0.00
scaffold_1474	1498	62.35	1	1	0.67	0.633	0.633	NA	2.00	2.00	0.00
scaffold_1475	1496	56.95	1	2	1.34	0.462	0.462	1.000	287.00	287.00	0.00
scaffold_1476	1495	63.01	1	1	0.67	0.741	0.741	NA	753.00	753.00	0.00
scaffold_1477	1495	74.11	1	2	1.34	0.713	0.713	1.000	36.50	36.50	0.00
scaffold_1478	1494	64.26	1	2	1.34	0.730	0.730	1.000	18.00	18.00	0.00
scaffold_1479	1494	68.27	1	1	0.67	1.491	1.491	NA	3.00	3.00	0.00
scaffold_1480	1494	62.12	1	3	2.01	0.255	0.174	2.000	375.50	375.50	0.33
scaffold_1481	1492	62.33	1	1	0.67	0.243	0.243	NA	1248.00	1248.00	0.00
scaffold_1482	1491	68.75	1	2	1.34	0.375	0.375	1.000	372.00	372.00	0.00
scaffold_1483	1488	59.41	1	4	2.69	0.195	0.189	0.333	62.00	62.00	0.00
scaffold_1484	1488	52.76	1	3	2.02	0.264	0.333	0.500	345.00	345.00	0.00
scaffold_1485	1488	69.02	1	2	1.34	0.510	0.510	NA	235.50	235.50	0.00
scaffold_1486	1485	56.84	1	2	1.35	0.667	0.667	1.000	76.50	76.50	0.00
scaffold_1487	1485	56.23	1	3	2.02	0.396	0.285	0.500	173.00	173.00	0.33
scaffold_1488	1485	64.98	1	2	1.35	0.345	0.345	NA	340.50	340.50	0.00
scaffold_1489	1483	63.12	1	1	0.67	1.482	1.482	NA	1.00	1.00	0.00
scaffold_1490	1483	65.54	1	2	1.35	0.609	0.609	1.000	133.50	133.50	0.00
scaffold_1491	1483	63.86	1	1	0.67	1.482	1.482	NA	2.00	2.00	0.00
scaffold_1492	1483	63.32	1	2	1.35	0.373	0.373	NA	369.50	369.50	0.00
scaffold_1493	1481	63.54	1	1	0.68	1.311	1.311	NA	2.00	2.00	0.00
scaffold_1494	1480	55.27	1	1	0.68	0.156	0.156	NA	663.00	663.00	0.00
scaffold_1495	1479	65.11	1	2	1.35	0.381	0.381	NA	359.00	359.00	0.00
scaffold_1496	1479	51.72	1	2	1.35	0.744	0.744	1.000	1.00	1.00	0.50
scaffold_1497	1478	63.60	1	1	0.68	0.567	0.567	NA	668.00	668.00	0.00
scaffold_1498	1478	74.83	1	1	0.68	1.476	1.476	NA	1.00	1.00	0.00
scaffold_1499	1478	57.37	1	4	2.71	0.287	0.300	0.333	170.00	170.00	0.25
scaffold_1500	1478	63.33	1	1	0.68	1.476	1.476	NA	1.00	1.00	0.00
scaffold_1501	1478	60.89	1	2	1.35	0.562	0.562	1.000	178.00	178.00	0.00
scaffold_1502	1477	59.51	1	1	0.68	0.894	0.894	NA	1.00	1.00	0.00
scaffold_1503	1475	61.22	1	2	1.36	0.696	0.696	NA	42.50	42.50	0.00
scaffold_1504	1475	55.53	1	2	1.36	0.490	0.490	NA	18.00	18.00	0.00
scaffold_1505	1474	71.30	1	3	2.04	0.388	0.447	NA	83.00	83.00	0.00
scaffold_1506	1473	50.78	1	1	0.68	0.135	0.135	NA	816.00	816.00	0.00
scaffold_1507	1473	61.30	1	2	1.36	0.300	0.300	1.000	437.00	437.00	0.00
scaffold_1508	1471	57.85	1	2	1.36	0.317	0.317	NA	420.50	420.50	0.00
