VOG	Allma1	Allomyces_arbuscula_Burma_1F	Allomyces_javanicus_California_12	Anasp1	Batde5	Blabri1	Blyhe1	Blyttiomyces_sp	Boothiomyces_macroporosum_PLAUS21	Borealophlyctis_nickersoniae_WJD170	Caecom1	Catan2	Caupr1	Caupr_SCcomb	Chyhya1	Chylag1	Chytri1	Chytriomyces_hyalinus_ARG085	Chytriomyces_hyalinus_ARG121	Chytriomyces_hyalinus_JEL0117	Chytriomyces_hyalinus_JEL0176	Chytriomyces_hyalinus_JEL0345	Cladochytrium_tenue_C_tenue	Clapol1_1	Clarep1_1	Dinochytrium_kinnereticum_KLL_TL_06062013	Enthel1	Entophlyctis_luteolus_JEL0120	Entophlyctis_luteolus_JEL0129	Entophlyctis_sp	Fimjon1	Gaertneriomyces_sp	Gaesem1	Ganpr1	Geranomyces_michiganensis_JEL0563	Geranomyces_variabilis_JEL0379	Geranomyces_variabilis_JEL0389	Geranomyces_variabilis_JEL0566	Geranomyces_variabilis_JEL0567	Gervar1	Glopol1	Gorhay1	Hompol1	Hyacur1	Irineochytrium_annulatum_JEL0729	Kappamyces_sp	Lobulomyces_angularis_JEL0522	Lobulomyces_sp	Neosp1	Nowakowskiella_sp	Obemuc1	Orpsp1_1	Paranamyces_uniporus_JEL0695	Paraphysoderma_sedebokerense_JEL0847	Parsed1	Phlyctochytrium_bullatum_JEL0754	Phlyctochytrium_planicorne_JEL0388	Physocladia_obscura_JEL0513	PirE2_1	Pirfi3	Podochytrium_sp	Polagg1_1	Powhir1	Quaeritorhiza_haematococci_JEL0916	Rhihy1	Rhizoclosmatium_hyalinus_JEL0917	Rhizophlyctis_rosea_JEL0318	Rhizophlyctis_rosea_JEL0764	Rhizophydium_sp	Siphonaria_sp	SmithFen_BAUOG	Spipu1	Thoreauomyces_humboldtii_JEL0095	Triarc1	Unknown_unknown_JEL0888
NCVOG0073	2.1e-98	1.2e-89	1.2e-57	1.3e-13	1.5e-56	1.2e-37	1.1e-23		1.1e-39	1.1e-23	1.1e-12	1.1e-55	1.7e-37	1.3e-47	1.1e-55	2.1e-37	1.8e-16	1.3e-37	1.4e-28	1.3e-63	1.2e-13	1.2e-63	1.1e-58	1.1e-43	1.1e-36	1.4e-77	1.3e-93		1.1e-88	1.2e-166	1.2e-103	1.1e-89	1.7e-38	1.7e-15	1.1e-34	1.2e-49	1.1e-38	1.2e-49	1.3e-66	1.9e-38	1.1e-16	1.5e-25	1.1e-12	1.5e-59	2.3e-48	1.1e-80	1.2e-37	1.4e-46	1.1e-24	1.1e-17	1.1e-91	1.1e-20	1.1e-14	1.3e-15	2.8e-13	1.7e-19	1.2e-86	1.1e-131	1.6e-12	1.1e-28	1.3e-11	1.3e-43	1.2e-98	1.7e-72	1.2e-70	1.1e-56	2.3e-21	1.1e-37	1.1e-101	1.3e-55		1.1e-37	1.2e-49	1.7e-31	1.1e-11
NCVOG0074	1.2e-111	2.1e-178	0	1.2e-190	3.1e-17	1.3e-57	1.1e-11		1.3e-14	0	1.1e-32	1.2e-171	1.6e-203	2.6e-26	1.3e-77	1.2e-37	1.3e-94	1.5e-14	1.1e-30	1.1e-14	1.1e-93	1.2e-23	0	1.1e-185	1.1e-100	1.3e-72	1.4e-197		1.5e-195	1.1e-61	1.2e-140	1.4e-44	1.1e-160	1.5e-30	1.4e-176	1.8e-81	1.2e-201	1.2e-200	1.1e-38	1.3e-47	1.1e-37	0	1.5e-86	1.3e-11	1.1e-28	1.1e-16	1.2e-61	1.1e-42	1.1e-124	1.1e-13	1.1e-46	1.1e-56	1.1e-17	1.1e-17	1.4e-64	1.2e-97	1.1e-62	1.1e-11	1.1e-58	1.1e-98	1.1e-13	1.4e-180	1.1e-177	1.1e-19	1.1e-17	1.1e-19	1.1e-25	1.4e-13	1.1e-14	0		1.4e-20	1.6e-38	1.1e-205	1.2e-19
NCVOG0076		4.1e-41	3.5e-21				1.4e-31					2.1e-22										5e-44												9.3e-33											1.6e-14					8.3e-14														1.1e-11				4.4e-56		3.7e-18					
NCVOG0077	1.8e-12	1.1e-11	1.1e-13	1.5e-13	7.3e-16	3.5e-13	1.1e-26			1.1e-11	1.3e-14		1.9e-12	5.9e-16		1.1e-11	2.4e-12			1.6e-16		2.3e-22	2.1e-15		1.1e-32	1.3e-13	2.1e-13				1.3e-14	1.1e-11	1.2e-14		1.2e-12	1.1e-13	1.1e-20	1.2e-14	1.4e-27	2.5e-29		1.1e-11	8.1e-16	1.6e-14	1.1e-40				2.2e-14		3.3e-14	1.2e-14				4.7e-18	8.3e-11	7.8e-16	1.4e-14	4.1e-14	1.3e-15		1.2e-19	1.4e-13	1.2e-12	2.8e-19	1.6e-14	1e-25	1.3e-14	1.8e-16		1.1e-19	1.7e-14	1.4e-13	
NCVOG0078	1.9e-17	1.2e-17	1.9e-15	7.4e-17	3.7e-18	1.3e-16	7.6e-11		1e-21	3e-15			3.1e-19	6.5e-19	1.6e-17	1.1e-11	1.5e-16	1.3e-16	1.6e-12	2.4e-18	2e-15	2.5e-22	1.8e-21		3.2e-11		2.9e-16		1e-14	1e-15	9e-12	1.4e-13	4.6e-16								2.5e-17	2.3e-19			3.3e-11	1.3e-15	1.3e-20	5.2e-11		1.3e-15	1.1e-16		1.3e-17	1.3e-16	2.6e-17	1.4e-13			2e-16	2.9e-17	2.2e-13	2.4e-18	3e-11	2e-12	1.2e-15	2.1e-18	1.1e-20	3.1e-15	1.1e-22	1.1e-13		2e-12		1e-11	
NCVOG0080																				4.3e-12																								2e-18		4.3e-29					3.1e-22														1.1e-24	3.1e-13			1.6e-28	2.6e-35					
NCVOG0102																																																																					2e-11						
NCVOG0105	1.6e-17	2.8e-12	3.7e-12	1.5e-15	6e-12	1.6e-14	1.9e-14		1e-12		2.4e-14	2.6e-16	1.4e-14	1.6e-12			3e-11			1.7e-31		1.5e-47	1.4e-12				1.9e-11		2.1e-11	1.5e-11	3e-20	4.1e-15	1.2e-13	4e-15							4.2e-11	1.8e-15	6.8e-15	2.9e-11	2.5e-12	2.2e-15			2e-24	4.9e-13	2.3e-19	6.1e-13	1.1e-18	2.1e-18				2e-17	2.3e-15	1.4e-15	1.8e-18				3.1e-21				1.3e-21	6.3e-20			1.2e-18		
NCVOG0106																																																						6.6e-11						2.6e-13									9.4e-12						
NCVOG0108																																																6.9e-18																											
NCVOG0112																															4.4e-11																																												
NCVOG0113				8.1e-14																																																								2.8e-13															
NCVOG0117	5.5e-11			2.1e-14									8.3e-11																			3.5e-11	1.1e-11															1.2e-11	1.8e-13										2.9e-12	2.7e-12			3.9e-11												
NCVOG0121										7e-11																																						3.1e-12																											
NCVOG0134																																																8.8e-11																											
NCVOG0157											3e-13										3.3e-11																				1.1e-11												2.2e-11						4e-15										2.4e-11						
NCVOG0158		6.5e-14	2e-13				2.3e-12																											7e-12																1.7e-15												1.7e-13		2e-19											
NCVOG0160																																													7.2e-12			4.6e-18																									2.4e-12		
NCVOG0162																																																																			1.6e-12								
NCVOG0163										1e-10																																																																	
NCVOG0166																																																					1.7e-15																						
NCVOG0169				2.7e-15																																													2e-15					1.5e-13					1.6e-12	2.9e-17									1.1e-11			2.7e-14			
NCVOG0170																																																												9e-11															
NCVOG0174				1.3e-11						1.1e-11																						2.9e-14	1.4e-14																1.9e-16										1.3e-14	2.2e-18				4.3e-20											
NCVOG0177																																																											9.2e-11																
NCVOG0178				1.4e-13						9.4e-12																							5.4e-12																1.1e-17										1.1e-12	3.5e-12															
NCVOG0181																																			1.4e-22	1.3e-11	1.3e-12	4.3e-18	1.1e-13	1.4e-17																4.2e-15												1.2e-20					2.7e-11	6.1e-29	
NCVOG0185	1.4e-14	1.8e-11		1.2e-11	1.2e-13	1.2e-13						1.1e-14	2.1e-11		1.1e-13	1.2e-14	2.7e-14							1.6e-11	1.2e-11		1.1e-16				1.3e-12	1.1e-12	1.2e-13	1.2e-13	1.1e-14	2.6e-11	3.6e-12			1.1e-16	2.6e-11	4e-12	2e-13						1.6e-15		3.9e-15				2.4e-16				1.3e-18	1.2e-15		1.1e-11	1.1e-12		1.1e-18				1.9e-12		1e-11	4.4e-12	8.6e-11	1.1e-11	
NCVOG0188													3.2e-11																				4.8e-11															2.4e-11														6.4e-11												5.7e-12	
NCVOG0189													1.1e-11									9.1e-12																																																					
NCVOG0190	1.4e-11	1.1e-11		1.1e-12	1.1e-13	1.6e-11		2.8e-12	2.1e-12			1.1e-13	1.1e-11		1.1e-17	1.1e-12	2.5e-15							1.1e-11	1.1e-12		1.1e-12				1.3e-11	1.4e-13	1.2e-11	1.1e-12	1.5e-11		2.5e-13			1.1e-13	3.9e-11	5.9e-11	8.6e-15				3.3e-11		1.9e-11		1.1e-13			2.1e-11	1.1e-12				1.1e-11	1.1e-13		1.1e-11	1.2e-19		1.7e-11				1.2e-16		1.4e-11	2.3e-12		1.1e-15	
NCVOG0191	1.5e-11			8.1e-15	1.5e-18	3.9e-11					1.1e-15					5.6e-13			3.4e-12					2e-12			1.5e-12								8.7e-13			9.7e-11	1.7e-11	1.4e-12					2.9e-12				1.2e-15			1.3e-14					2.1e-11		1.4e-20				1.2e-15						1.7e-12			2.3e-12		7.6e-12	
NCVOG0193																																																				6e-11								9.3e-11															
NCVOG0196	1.4e-11					6e-13							1.3e-11		1.4e-11	1.2e-12											1.8e-11				4.1e-11		2.5e-11	4.2e-11	1.6e-12		3.6e-11			1.8e-11	4.7e-11								3.2e-11													1.1e-12							9e-12			2.2e-11		3.3e-12	
NCVOG0199																																														6.5e-13						8.8e-11																							
NCVOG0200													8.6e-11																																																														
NCVOG0203																																													9.6e-11																												1.5e-11		
NCVOG0213									2e-13																3.4e-11																4.2e-11	8e-11						7.9e-12											8.2e-11										5.2e-14					5e-11	
NCVOG0214	1.1e-12	1.1e-11		1.1e-11	1.2e-12	1.1e-15	1.1e-13		2.8e-16	1.1e-16	1.1e-14	1.2e-13	1.2e-13		1.4e-12	1.8e-24	1.1e-13	3.3e-15	1.4e-12			2.2e-11	2e-11	1.3e-13	1.1e-14	2e-13	1.4e-13		4.4e-15	1.5e-19	1.8e-12	3.5e-15	2.5e-11	2.5e-13	1.7e-17	1.4e-13	1.4e-11	6.3e-18	1.1e-11	1.3e-11		2.1e-12	1.2e-12		2e-14	3.4e-11	4.8e-13	3.2e-14	1.2e-19	7.1e-11	1.1e-14	1.1e-13	1.2e-12	1.4e-13	2.8e-13	1.1e-14	1.3e-13	1.4e-11	1.4e-12	1.3e-15		1.1e-12	1.1e-11	1.8e-12	1.4e-13		1.6e-11	1.1e-17	1.6e-11	1e-11	1.2e-13	1.1e-11	1.1e-14	1.1e-13	
NCVOG0215				1.4e-11							2.4e-12	5e-11									1.1e-11			5.7e-13																									2e-11			1.4e-11							3.8e-12			6.7e-14										1.6e-11		2.6e-11	
NCVOG0218	1.1e-11	1.1e-11		1.1e-12	1.1e-13	1.4e-11	1e-11	1.2e-18	1.5e-18	1.1e-11	1.4e-11	1.1e-11	1.1e-12		0	1.1e-11	1.1e-11	1.1e-13	1.3e-19	2.2e-16	1.2e-13	1.1e-14	1.3e-13	1.1e-11	1.1e-13	1.1e-14	1.1e-11	2.2e-13	1.3e-11	1.1e-13	1.1e-11	1.1e-18	1.2e-12	1.1e-12	1.2e-11	1.2e-11	1.1e-12	1.1e-11	1.1e-13	1.1e-11	1.2e-21	1.1e-21	1.1e-12		1.2e-11	1.6e-14	1.2e-17		1.1e-14	1.1e-12	1.1e-11	1.9e-11	1.1e-14	1.1e-15	1.1e-11	1.1e-11	1.1e-21	1.1e-12	1.1e-13	1.1e-12	1.2e-16	1.1e-11	0	1.7e-12	1.1e-11	4.1e-11	1.1e-13	1.1e-12	1.1e-12	1.1e-11	1.1e-16	1.2e-13	1.1e-13	1.1e-11	2.6e-11
NCVOG0219	3.5e-14	3.4e-13	2.1e-13	1.4e-12		7.2e-24			1.1e-61	1.2e-23		2.6e-20			1.3e-26		4.4e-25	2.3e-28	1.7e-25	1.6e-19	3.1e-28	1.1e-26		9.1e-13		8.4e-36			9.3e-18	2.5e-18	2.2e-13	1.5e-13	2.6e-18	4e-11							2e-22			1e-18					1.1e-11		4.4e-16		1.4e-28	2.3e-41	3.8e-22			1.3e-17	1.8e-12	1.1e-13	1.5e-17			6.1e-12	1.6e-15	1.1e-24	5.2e-15	5.5e-11	1.1e-11	6.8e-23		5.3e-35		1.2e-42	3.4e-36
NCVOG0222	1.6e-18	1.1e-15	5.4e-11	1.1e-13	1.1e-13	1.7e-13	2.4e-11		1.9e-30	3.8e-11	1.1e-25	8.2e-23	1.8e-12	2.7e-14	1.2e-19	1.5e-18	1.1e-22	1.2e-21	1.3e-17	1.5e-18	1.1e-19	1.2e-13	2.1e-12	1.2e-14	1.2e-18	2.4e-13	1.1e-12		1.4e-13	1.2e-29	1.3e-11		5.1e-12		1.6e-18	2e-16	1.9e-19	1.8e-19	1.4e-15	1.1e-13	2e-16	1.2e-13	4.7e-13	1.2e-16	1.2e-15		1.4e-11	2.1e-18	1.1e-14	1.1e-11	1.1e-29	1.5e-11	1.2e-11	4.2e-13		1.2e-19	2.6e-14	1.1e-25	1.5e-14	1.2e-11	2.4e-29	1.2e-15	1.4e-26		1.1e-14	1.1e-23	2.2e-11		1.8e-11	1.1e-14			1.1e-19	1.1e-17	1.1e-14
NCVOG0225									1.6e-19									1.5e-11		3.4e-11	1.1e-15						1.8e-11			8.4e-11			2.6e-14								1.3e-11				3.7e-14									4.4e-11	7.7e-11						1.5e-12			3.2e-11		2.6e-12			1.1e-16	5.5e-11					
NCVOG0226	2.8e-12	2.4e-11		1.6e-11	1.2e-13	1.3e-15					1.5e-11	1.8e-12	2.9e-11		1.1e-12	1.1e-14			1e-11			1.3e-11		1e-13	1.1e-11		3.6e-12				1.2e-11	1.5e-11	1.6e-14	2e-12	1.2e-11	1.9e-12	4.2e-15	1.1e-11	2.5e-13	2.8e-11	4e-11	2.6e-12							1.1e-14			1.1e-13							1.3e-13	1.5e-11		1.5e-12	1.3e-12						7.3e-11			1.3e-11		2.9e-15	
NCVOG0227																																																					4.6e-11																						
NCVOG0228	1.2e-25	1.1e-24	1.1e-24	9.4e-16		3e-19	1.3e-44		2.3e-26	2.8e-17		2.7e-19	1.6e-14	6.2e-18	1.2e-13		1.1e-44	2.3e-16	1.2e-12	4.1e-17	2.4e-36	3.4e-34	7.2e-23	2.2e-18	7.5e-11	1.2e-14	1.1e-21		1.5e-38	1.2e-44	9e-16	1.9e-21	3e-23	9.2e-19	1.2e-14	4.8e-15	4.7e-16	4.1e-15	1.2e-15	4.7e-17	9.8e-18	1.6e-21	2.2e-15	5e-14	1.5e-27	2.1e-43		1.2e-15	3.9e-32	1.6e-18		7.9e-17	1.1e-26	1.9e-17	3.6e-33	1.2e-13	1.3e-13	1.5e-17			3.9e-15	1.4e-19	3.4e-15	1.3e-36	1.3e-31	2.2e-44	1.2e-12		1.1e-19	1.2e-16		1.2e-20	3.3e-13	1.9e-38	1.2e-18
NCVOG0230																																																	1.1e-11																										
NCVOG0231									2.4e-25																																2.9e-11	5e-12	4.9e-11			4.2e-15		6.7e-11					1.7e-12	2.4e-16									4.7e-11						1.4e-11		4e-11				
NCVOG0232																															1.4e-15																																				4.4e-12	7e-22							
NCVOG0233	1.4e-18	1.1e-19	1.1e-31	1.2e-22	1.2e-42	1.7e-21	1.2e-56		1.3e-23	1.5e-70	1.2e-33	1.1e-50	1.3e-16	1.3e-16	1.1e-16	1.1e-28	1.7e-16	1.1e-14	1e-14	1.2e-20	1.1e-14	1.3e-40	1.1e-34	1.1e-13	1.1e-15	1.2e-32	1.2e-37		1.1e-46	1.3e-33	1.2e-14	1.3e-46	1.3e-31	1.1e-11	1.1e-26	1.3e-30	1.2e-24	1.1e-13	1.1e-16	1.1e-16	1.1e-11	1.2e-33	1.1e-21	1.1e-13	1.2e-57	1.1e-11	1.6e-12	1.3e-12	1.2e-12	1.1e-52	1.2e-12	1.2e-11	1.2e-11	1.2e-57	1.2e-16	1.2e-56	1.3e-32	1.2e-16	1.8e-13	1.4e-23	1.1e-12	1.1e-19	1.7e-16	1.1e-19	1.1e-13	1.1e-41	1.2e-26	2.2e-39	1.1e-15	1.3e-27		1.1e-23	1.1e-19	1.1e-16	1.1e-13
NCVOG0234				2.4e-13							9.1e-11																																						1.1e-12										7.5e-11	1.1e-11															
NCVOG0235												1.4e-35														3.9e-35			2e-14	2.3e-37					6.5e-11					3.8e-12	2e-29	1.8e-14		1.9e-13												1.7e-18	1.7e-23												1.9e-29			4.9e-13			
NCVOG0236			1.1e-15				1.9e-15															5.7e-11												1.6e-15																2.7e-21												1.1e-13		1.1e-13											
NCVOG0240																																												2.9e-42																	1.9e-20														
NCVOG0241													5.6e-24	1.2e-13								2.5e-19					7.8e-12																	1e-12						2.2e-13			4.4e-20									1.6e-18		1.7e-17	1.5e-11				1.3e-13			4.6e-11			
NCVOG0242				5.4e-14	2.1e-11	4e-11			1.3e-23		1.4e-11	1.5e-13	8.4e-11					1.7e-11		7.2e-12	9.8e-14						1.4e-11		1e-11	1.7e-11	4.6e-11			1.2e-11							2e-11	2.5e-11							2.2e-11	3.2e-15			1.3e-20	1.1e-17				3.4e-13	2.5e-14	1.3e-14	8.9e-11				6.1e-11	7.7e-12			1.9e-18	2.1e-11					
NCVOG0243					5.5e-13				1.4e-23	8.6e-20					5.9e-24		2.9e-26	3.3e-23	4.7e-18	2.5e-22	5.1e-23	4.8e-22		3.1e-14	1.5e-14				7.4e-26	4e-26	7.3e-13	1.7e-11								1.6e-12	1.8e-21	2.8e-15			2.3e-27					1.8e-32	1.7e-16		1.9e-26	3.8e-14		1.9e-15	1.1e-27	3.1e-20				1.3e-29		2.6e-27	1e-15	1.4e-22	3.6e-18	3.1e-25	1.1e-21	1.3e-22		1.1e-20	5.5e-11		1.1e-12
NCVOG0244				1.1e-12	4e-13				1.9e-11	1.3e-12										3e-11			2.8e-13	1.1e-11						1.9e-14												1.6e-12			1.1e-12			1.2e-22	1.2e-11		6.4e-12				1.6e-11		2.8e-18	1.2e-18	1.1e-13	1.3e-15				1.2e-12	1.2e-12	8.6e-13	1.2e-15		2.8e-13						1e-11
NCVOG0245		1.8e-20	1.2e-31				3.6e-21															2.2e-24												2.6e-15		4.9e-29								8.1e-11																								1.1e-49							
NCVOG0246		8.8e-12	1.8e-18				5.3e-11														3e-28	1.2e-11									3.6e-12																															5.1e-11		1.1e-16											
NCVOG0248			2.3e-11	3.5e-26		7e-14	1.6e-18	6.7e-11	8.7e-14	3.3e-21	2.2e-28	2e-11	3.9e-11	7.8e-11	2.1e-11	8e-14		5.1e-11		1.4e-12		1.4e-11	5.1e-12	1.4e-12		2.3e-20			6.3e-21	3.2e-17	2.5e-32	3.1e-14	1.8e-19		4.2e-11	1e-17	1.2e-18	1.7e-18	4.2e-18	6.4e-20	1.4e-17	2.9e-24			3.8e-11	2.7e-14			5.5e-30		1.1e-30	1.1e-13	5.6e-11	2.1e-15		1.3e-12	8.5e-18	1.6e-11			1.8e-18	5.1e-18	1.2e-32	1.2e-11	1.7e-11	3.2e-14		2.5e-14	1.1e-11	1.1e-20		1.4e-15		1.2e-14	3e-15
NCVOG0249		4.1e-43	2.5e-17				1.2e-22												4.7e-12		6.3e-11	1.1e-20												7.5e-21																												3.2e-42		3.3e-12			1.3e-11								
NCVOG0261																																																5.2e-13																											
NCVOG0262		8.8e-28	2.1e-11				1.1e-15						9.3e-11									1.7e-26		8.9e-23										3.2e-25			5.5e-13	2.9e-14	2.9e-11											7.9e-26											3.2e-19	1.2e-34		3.1e-19						5.6e-12					
NCVOG0267	1.6e-15	1.3e-11	1e-27	1.3e-12	1.4e-22	1.1e-23	4.8e-11		1.1e-12	9.2e-25	1.3e-11	1.2e-11	2.3e-25	1.2e-11	1.2e-12	1.4e-12	1.9e-13	8.4e-14	6.9e-12	1.2e-15	1.2e-12	2e-11	1.7e-12	5.8e-13	1.1e-12	1.2e-12	1.9e-21		1.3e-14	1.3e-14	1.3e-16	1.1e-28	1.8e-16	1.5e-11	1.5e-22	1e-13	1.1e-12	1.2e-12	1.2e-24	1.6e-13	1.4e-22	1.1e-23	1.1e-14	5.1e-20	1.3e-14	1.5e-11	8.7e-11	4.3e-14	2.2e-23	1.9e-17	1.2e-18	1.3e-16	1.1e-12	1.7e-14	1.1e-28	1.2e-12	4.5e-12	1.4e-12	1.3e-12	1.2e-28	1.1e-16	1.2e-22	1.2e-25	1.6e-11	1e-13	1.2e-11	2.4e-15		1.1e-13	1.3e-16		1.8e-11	2.6e-11	1.8e-12	1.1e-23
NCVOG0268	2.4e-12	2.2e-11		3.4e-12	5.1e-13				4.6e-11	1.1e-13	1.6e-11		4.9e-15		8.1e-12	8.6e-14													1.3e-15	1.5e-15	3.3e-12		2.4e-11	5.7e-13															1.2e-17							3.3e-11		1.1e-12	1.6e-12	1.3e-13							1.6e-12	4.5e-13	6.7e-12	8.8e-11					
NCVOG0269				1.1e-11							9.6e-11					2.6e-11															2.1e-26																		1.9e-12											3e-12							2.3e-13			3.7e-13					
NCVOG0271	1.1e-103	1.9e-107	1.2e-162	1.3e-35	1e-68	2.2e-137	4.5e-64		1.2e-24	1.8e-32	1.2e-34	1.5e-110	3.6e-99	1.6e-53	1.1e-50	1.1e-48	2.4e-50	1.2e-50	2.1e-34	1.1e-13	1.8e-24	1.2e-15	1.4e-73	1.5e-20	1.3e-17	1.3e-15	1.2e-29		2e-40	1.4e-50	1.3e-91	1.3e-23	2.8e-68	1.4e-22	1.2e-105	1.6e-20	2.4e-105	1.8e-105	1e-20	1.8e-23	1.3e-25	1.1e-48	1.6e-54	1.1e-52	1e-102	3.4e-19	1.3e-20	1.5e-21	1.1e-31	1.2e-41	1.6e-50	1.1e-50	1.6e-40	1.2e-13	2.6e-59	2.8e-62	1.3e-74	2.1e-111	1.4e-13	1e-13	1.6e-63	1.6e-19	1.1e-55	1.1e-143	1.3e-50	2.1e-31	1.3e-24	1.8e-15	1.1e-13	1.1e-20		3.4e-19	1.2e-21	1.7e-17	1.1e-22
NCVOG0272																																																																					1.4e-13						
NCVOG0273						6.2e-14	4.3e-11		4.7e-11			1.2e-15	2.5e-22	2e-22	7.9e-12							1.1e-23											1.7e-11									2.8e-13			1.6e-22					1.3e-12	1.5e-11		3.6e-11	1.4e-14															1.6e-13						
NCVOG0274	1.2e-32	1.4e-22	1.1e-14	1.3e-13	2.2e-23	1.9e-33	1.3e-12		1.1e-11	2e-102	1.4e-45	2.5e-31	1e-41	1.4e-63	1.2e-12	3.1e-12	1.7e-17	2.3e-13	2.3e-48	1.1e-11	2.1e-16	1.5e-17	1.3e-30	3.9e-60	1.7e-16	1.1e-11	1.2e-12		1.1e-45	1.5e-50	1e-11	1.1e-60	6.9e-28	1e-47	1.3e-42	2.5e-59	1.1e-59	1.9e-43	1.3e-44	1.4e-14	1.9e-61	1.1e-14	1e-31	1.2e-13	1.2e-132	1e-30	2.2e-12	1.4e-23	1.1e-31	1.2e-45	2.5e-30	1.4e-26	1.5e-57	1.2e-27	2.2e-23	1.4e-16	3.8e-31	2.2e-65	1.3e-21	1.1e-26	1.5e-22	1.1e-47	1.1e-61	1.1e-11	1.2e-33	1.4e-11	1.2e-13	1.3e-20	1.1e-12	1.1e-13		1.7e-11	1.1e-146	1.8e-15	1.1e-38
NCVOG0275	1.8e-13	1.7e-13	1.4e-13	2.2e-12	3.3e-12	6.1e-15			1.1e-13	3.4e-12	1.2e-11		1.6e-16	1.5e-13	9.2e-11	3.4e-12		8.7e-17	7.4e-11				5.4e-12	1.4e-12	1.5e-12	1.3e-17	9.4e-13				3.2e-13	6.8e-15	2.2e-16	6.7e-11	1.2e-13	4.5e-12	5e-12	2.2e-12	1.7e-11	1.7e-14	9.1e-13	1.2e-12	6.9e-13			4.5e-12			4e-12	2.7e-11		2.8e-12	1.7e-20	1.1e-12		2.3e-13	2.3e-12		1.4e-11	7.4e-13		3.4e-11	3.9e-13	1.1e-13			4.8e-11	1.4e-11	1.1e-11	3.2e-12		5.9e-14	2.3e-16	1.1e-13	5.3e-15
NCVOG0276	1.2e-115	1.1e-114	1.2e-37		7.4e-63	3e-62	1.2e-90		1.3e-20	4.8e-114		2.6e-65	3.3e-107	1.5e-42	4.8e-59	3e-33	6.6e-57	5.3e-57	2.8e-57	1.1e-48	1.1e-35	1.8e-56	1.3e-139	2.1e-56	1.4e-63	5.7e-40	2.9e-63		2.1e-80	1.4e-82	1.2e-57	1.2e-60	2.1e-16	2.2e-21	3.2e-55	2.7e-55	5.5e-56	1.6e-55	2.3e-55	6.7e-57	3.3e-12	2.6e-70	1.4e-33	2.6e-51	2e-64	4.3e-35	3.9e-26	1.7e-72		1.3e-17	4.2e-60		1.7e-14	2.1e-16	4.5e-64	3.3e-40	1.6e-31	2.5e-72			4.1e-75	1.1e-105	1.5e-18	2e-24	2.6e-58	1.8e-80	1.8e-35	1.4e-44	1.1e-59	2.2e-76		3.4e-71	3.3e-144	1.1e-62	1.3e-29
NCVOG0277						4.2e-12																			1.1e-17						3.8e-18	7.7e-14	2.2e-14																	7.1e-20					1.3e-13	7.7e-13							2.2e-11					1.2e-13	2.9e-19			1.6e-15	1.1e-12	3.1e-15	
NCVOG0278																															3.4e-12																																	8.4e-14											
NCVOG0280	1.2e-21	2e-21	2.8e-32	1.2e-17	1.2e-17	4.1e-13	2.6e-16		4.5e-11	1.3e-15	1.1e-24	7.4e-13	5e-18	3e-12	1.8e-14	1.9e-16	8.1e-22	1.1e-13	1.3e-13	1.1e-11	3.9e-14	8.5e-28		1.4e-12	3.5e-14	1.7e-15	1.1e-21		6.3e-12	3.8e-23	2e-18	3.3e-18	2.5e-12	1.3e-11							1e-14	2.8e-19	2.3e-12		1.6e-11	2.8e-15	2.8e-26	1.7e-12	1.1e-22	1.1e-11	2.9e-27	2e-12	1.1e-12	1.1e-22	1.3e-11	1.4e-11	1.6e-20	3.2e-17	1.2e-21	1.1e-17	1.5e-24	2.1e-11	1.4e-26	1.8e-14	3.2e-12	1.3e-11	1.2e-23	1.3e-19	1.1e-14	1.2e-23		2.7e-26	3.4e-19	1.5e-25	2.4e-16
NCVOG0281				4.2e-15							1.7e-19																								5.7e-12														1.2e-11			1.2e-12							1.8e-11	4.8e-19			7.1e-11			1.2e-12									
NCVOG0282	1.1e-29	1.3e-16		1.3e-20	1.1e-15	1.3e-11			1.1e-14	4.2e-14	1.1e-11	1.3e-13	1.1e-19		1.6e-13	2.5e-15	1.4e-20	1.5e-11	1.5e-12	1.7e-13	1.2e-11	1.1e-13		1.7e-11		3.9e-13	1.9e-15		1.3e-15	1.5e-15	1.1e-13	1.5e-12	1.1e-13	1.1e-11	1.3e-14	1.7e-11	1.1e-14	1.4e-14	1.3e-21	2.4e-12	1.4e-18	1.3e-15	2.6e-12		7.1e-12	3.1e-12		2e-11	1.1e-14	5.6e-11	1.3e-11		1.1e-12	1.1e-15	5.6e-14	1.1e-11	1.1e-11	4.3e-11	1.8e-12	1.1e-17	8.4e-12	1.1e-11	1.1e-16		1.1e-14	1.3e-12		2.3e-11	1.1e-11	3.5e-11	7.7e-14	1.2e-13	1.1e-16	1.1e-11	
